Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,qwen-2.5-7b,nfix,pond+supermat,NTP,0.7999371365707999,0.7453703703703703,0.6072607260726073,0.6692647440893738,0.854586863010407,0.13267715534189592,0.12378741076537818,0.14337228706475094,0.12840496358015027,0.1211878899747826,0.14093750201481292,0.15536258171077544,0.14897869766044522,0.16393769189544408,0.10884845955188281,0.09771468217151645,0.11998223693224917,0.6072607260726073,0.7453703703703703
syn,qwen-2.5-7b,nfix,pond+supermat,Probe,0.7757347163287758,0.6395816572807723,0.7496463932107497,0.6902539613631431,0.8356370846217781,0.09844950575123129,0.08853374102432833,0.10822431930299471,0.09844950575123129,0.08853357382693289,0.10822431930299468,0.13445209175684644,0.12215318050443719,0.14866155733916522,0.09011311443704878,0.08110710843980588,0.09911912043429168,0.7496463932107497,0.6395816572807723
syn,qwen-2.5-7b,supermat,supermat,NTP,0.7693631669535284,0.7594202898550725,0.4509466437177281,0.5658747300215984,0.8034555235942541,0.012206091124342672,0.01136823207130882,0.03435315326264784,0.08773437982091502,0.07584834086203983,0.11110011912492698,0.11026728804199225,0.09521614370651289,0.14058255848935367,0.021259093271344533,0.00830687124813851,0.03421131529455056,0.4509466437177281,0.7594202898550725
syn,qwen-2.5-7b,supermat,supermat,Probe,0.7578886976477338,0.658051689860835,0.5697074010327022,0.6107011070110702,0.8305891379632125,0.05880686859177964,0.04681809739586659,0.07956695383260609,0.05646865356340277,0.04333528746643891,0.07784286375289604,0.05288560755501479,0.039835852542291404,0.08332322974614112,0.050484850754709786,0.03483029026358224,0.06613941124583733,0.5697074010327022,0.658051689860835
syn,qwen-2.5-7b,supermat,pond+nfix,NTP,0.7700687112451818,0.7801998183469573,0.4318753142282554,0.5559870550161813,0.8165070026927892,0.015041944320195923,0.011328301336664619,0.02684379607889968,0.09787825711317855,0.0885850952501437,0.10896613096958936,0.12596646099763348,0.11529693694256472,0.13795293951827692,0.028096225157221027,0.023577409679599627,0.03261504063484243,0.4318753142282554,0.7801998183469573
syn,qwen-2.5-7b,supermat,pond+nfix,Probe,0.6909669850846322,0.8756476683937824,0.08496732026143791,0.15490375802016498,0.8021898217976648,0.18402933727827875,0.1736771314038465,0.1951263163077322,0.18950276060295823,0.17915867108741765,0.20066349447078807,0.22396254457847195,0.2123722635932873,0.23693239936145483,0.18372949155719856,0.17372905732564214,0.19372992578875498,0.08496732026143791,0.8756476683937824
real,llama-3.1-8b,pond,pond,NTP,0.6836661053644455,0.8665254237288136,0.5214619634509138,0.6511010878217035,0.8263603900478985,0.15821746203925285,0.1467969955623041,0.17204632148964594,0.15821746203925283,0.14680404554492502,0.17197327164632226,0.19238555981468716,0.17890547729366957,0.20815714356170784,0.15787235519537274,0.14566618814995352,0.17007852224079195,0.4077922077922078,0.8665254237288136
real,llama-3.1-8b,pond,pond,Probe,0.7096463796006736,0.7134873323397913,0.8138546536336592,0.760373238038515,0.7842695978055093,0.05442494937479947,0.04423444264288835,0.06858799691325473,0.050944950482825095,0.04276488091408461,0.0668647634371325,0.062371961638357044,0.050644921881039626,0.08019964691287539,0.05099025510223086,0.04119979722104631,0.06078071298341541,0.6448051948051948,0.7134873323397913
real,llama-3.1-8b,pond,nfix+supermat,NTP,0.7085649577928763,0.7447097124253934,0.5922330097087378,0.659776469174378,0.7854310311320616,0.1112564766835786,0.10284065990369089,0.11990049569256804,0.10846267520526721,0.10002575879507603,0.11709845560235635,0.12064933237744628,0.1122363743916979,0.13075469212125135,0.10389893822787034,0.09702480616507339,0.1107730702906673,0.3710450623202301,0.7447097124253934
real,llama-3.1-8b,pond,nfix+supermat,Probe,0.5941939468807906,0.5447732265150537,0.9096008629989213,0.6814288023274608,0.7270591748539208,0.2026062974453233,0.1937889468280648,0.2125505324153865,0.20260629744532338,0.1931736040651578,0.21216888449241905,0.2125671849659403,0.20333122127005432,0.22263980178790413,0.20253207659400344,0.19204505310781866,0.2130191000801882,0.4798657718120805,0.5447732265150537
real,llama-3.1-8b,nfix,nfix,NTP,0.6719409282700421,0.6499388004895961,0.35661517797179315,0.4605377276669557,0.7170201976165057,0.08091084193132736,0.06741547460706593,0.09553042559956308,0.10245677246887826,0.08788588549697246,0.11673386355044157,0.10538886596137038,0.09314638979118668,0.12286524591982077,0.0780494361906771,0.06571042116395054,0.09038845121740366,0.26096491228070173,0.6499388004895961
real,llama-3.1-8b,nfix,nfix,Probe,0.640295358649789,0.7376425855513308,0.1302887844190732,0.2214611872146119,0.6732500925151794,0.11428354028181437,0.0998460032742365,0.12946217769399768,0.11428354028181435,0.0997293819991218,0.12943410534821642,0.11593256051134489,0.10327026580476191,0.13360735477048796,0.11425662066703554,0.09699920540176599,0.1315140359323051,0.1206140350877193,0.7376425855513308
real,llama-3.1-8b,nfix,pond+supermat,NTP,0.6920380233263669,0.7382087970323264,0.6825085742283195,0.7092668024439918,0.7735877052291864,0.09081644248923175,0.08373091163491812,0.09778229009638727,0.09071817275611775,0.0834489500833766,0.09720208675424116,0.09783542407432004,0.09070932102705705,0.10597228120777233,0.07962465433982577,0.0734674794172153,0.08578182926243623,0.5001111358079573,0.7382087970323264
real,llama-3.1-8b,nfix,pond+supermat,Probe,0.6003505696757231,0.6647995283018868,0.5524252817246448,0.6034252073856035,0.6648822287505596,0.09345462332046697,0.08613633423426485,0.10093933381582272,0.09345462332046696,0.08620828498708928,0.10093768724525169,0.11535963076876245,0.10828086272397391,0.12371857145106402,0.09349544819139224,0.08533330896026442,0.10165758742252007,0.4934429873305179,0.6647995283018868
real,llama-3.1-8b,supermat,supermat,NTP,0.7415409702405218,0.8513169073916738,0.6858316221765913,0.7596664139499621,0.8332422556357776,0.13651698355831496,0.12006625285062401,0.15232595350762035,0.13651698355831499,0.12006625285062404,0.15232595350762038,0.13970381569059684,0.12405048969197378,0.15834308973180178,0.1363762546089494,0.11833870738881502,0.15441380182908376,0.5232358003442341,0.8513169073916738
real,llama-3.1-8b,supermat,supermat,Probe,0.5279249898083979,0.8722358722358723,0.242984257357974,0.3800856531049251,0.747211090503632,0.27342956244215577,0.2554557359458581,0.29091593803907434,0.272034752451914,0.2539706245619047,0.2895205776219278,0.2780504438610827,0.26117574150448947,0.2971005337096564,0.2719377909750195,0.25126322486671093,0.2926123570833281,0.3476764199655766,0.8722358722358723
real,llama-3.1-8b,supermat,pond+nfix,NTP,0.5783828874456295,0.9258266309204647,0.12903225806451613,0.22649759510275472,0.774005181923774,0.306137314737879,0.2993324490815461,0.3126395160107527,0.30613731473787903,0.2993324490815461,0.3126395160107526,0.3342419410144979,0.32751179846910444,0.34143635424669605,0.3060749578398578,0.2981279071568826,0.31402200852283296,0.14954150011756406,0.9258266309204647
real,llama-3.1-8b,supermat,pond+nfix,Probe,0.5263063814574271,0.5772994129158513,0.036741810935359324,0.06908665105386418,0.6815628621549601,0.32824542029555603,0.3211281344696466,0.3352510387205141,0.3244149447041649,0.317216583006053,0.3314369675799536,0.3417454509319161,0.3345890750969842,0.3490228934953729,0.3248086062958056,0.3167842994294321,0.3328329131621791,0.03244768398777333,0.5772994129158513
real,mistral-7b,pond,pond,NTP,0.4339668029829204,,0.0,,0.757992697909825,0.23555818806363882,0.22210550366386078,0.24923156661899157,0.23846078055670256,0.22588589419907962,0.25234063184932587,0.2596475728268376,0.24687976946485288,0.2745043628462851,0.23525416798144103,0.22278390466694672,0.24772443129593533,0.0,0.0
real,mistral-7b,pond,pond,Probe,0.6386817416406062,0.7009919697685404,0.6306842328941776,0.6639821029082774,0.6964127033187806,0.08554226576690954,0.07351912800253854,0.10032168818254311,0.08440453322999286,0.07404385834013263,0.10031317880081901,0.09705590624358502,0.08455678266337986,0.11432115146807867,0.083049496977205,0.06994671886741739,0.0961522750869926,0.4675324675324675,0.7009919697685404
real,mistral-7b,pond,nfix+supermat,NTP,0.5228536133415689,,0.0,,0.7103499975468505,0.19166876794521676,0.18235889897808819,0.2008540066391895,0.19166876794521678,0.18235889897808819,0.20085400663918954,0.20232054055048843,0.193307907566495,0.2114447606779079,0.19160258418102002,0.1819098659903864,0.20129530237165366,0.0,0.0
real,mistral-7b,pond,nfix+supermat,Probe,0.6408276714021001,0.610917537746806,0.6809061488673139,0.6440159167431895,0.6895411080972416,0.08811313564158224,0.08026925858347672,0.09766355874897782,0.08877634112716971,0.08060304576819868,0.09867748157721647,0.0972772299031863,0.08929426213245242,0.10782892819850773,0.08511335353205413,0.07757830801023259,0.09264839905387566,0.39357622243528284,0.610917537746806
real,mistral-7b,nfix,nfix,NTP,0.607331223628692,,0.0,,0.7452697695971062,0.1101843404344462,0.09631566276192924,0.12462199995782233,0.10697944845985485,0.09773911004651982,0.12426942517238994,0.1453281422917552,0.13172700689058575,0.16209943483182118,0.07805177566486628,0.06844998853310227,0.08765356279663028,0.0,0.0
real,mistral-7b,nfix,nfix,Probe,0.6413502109704642,0.6297786720321932,0.2102081934184016,0.3152064451158107,0.6800951951304792,0.17181951357747652,0.1578049009979425,0.1877716596820743,0.1675512998390704,0.15603703354860857,0.18413080923552627,0.19859810901281855,0.18440356389614707,0.2157698284059635,0.16878151908335987,0.15347480624604293,0.1840882319206768,0.31798245614035087,0.6297786720321932
real,mistral-7b,nfix,pond+supermat,NTP,0.44960560911481157,,0.0,,0.7209270239002826,0.22263264406080335,0.2150268448943938,0.22981994099657155,0.2278391309272321,0.22087370152830427,0.23523451293600187,0.24941964661321023,0.24219871327889372,0.25668902538533844,0.22240258105678798,0.21430605772361144,0.23049910438996452,0.0,0.0
real,mistral-7b,nfix,pond+supermat,Probe,0.6749814602575339,0.6783694376267208,0.7786624203821656,0.7250641573994868,0.7349282173091451,0.05386860686282302,0.047253444947216144,0.061750152450713615,0.053789974782945935,0.04664794083575731,0.06119338669261328,0.058478499965684716,0.051363202578722573,0.06756098268168903,0.051909614882732324,0.045429679661425915,0.058389550104038734,0.5927983996443654,0.6783694376267208
real,mistral-7b,supermat,supermat,NTP,0.6278026905829597,0.8682795698924731,0.44216290212183434,0.5859410430839002,0.7836611440462785,0.2574909619354169,0.2401420944267437,0.27438096800306416,0.2574909619354169,0.2401420944267437,0.2743809680030642,0.2695718078481539,0.25425580329907366,0.28691183036510154,0.2573099616527867,0.24081952683116253,0.27380039647441085,0.42857142857142855,0.8682795698924731
real,mistral-7b,supermat,supermat,Probe,0.42560130452507133,0.9193548387096774,0.039014373716632446,0.07485226526592254,0.7664429743216091,0.357314575527959,0.3383922740341213,0.3746631071374773,0.35731457552795903,0.3383922740341213,0.3746631071374774,0.38175373759687353,0.36355201107940927,0.3994108957174106,0.35721926787531255,0.3389384004641115,0.3755001352865136,0.13080895008605853,0.9193548387096774
real,mistral-7b,supermat,pond+nfix,NTP,0.6796162783769291,0.636,0.7723253207124174,0.6975645424377074,0.7379218604206996,0.08079181365729965,0.0742462508536466,0.08766173999306723,0.08382344396176314,0.07716013427866952,0.09037673430205358,0.10812847400042717,0.10160531316320728,0.11502221792771643,0.06768953608704907,0.062191664244570774,0.07318740792952737,0.5617211380202211,0.636
real,mistral-7b,supermat,pond+nfix,Probe,0.5572305308943574,0.8460648148148148,0.09104496201270394,0.16439896547846622,0.6999957573262311,0.2226982629989996,0.2158856699000509,0.22954359894760698,0.22269826299899959,0.21588304112080658,0.229543598947607,0.23322900876073058,0.22666855615476592,0.240477765459185,0.22259164553780741,0.2149180466298164,0.23026524444579843,0.12156125088173055,0.8460648148148148
real,qwen-2.5-7b,pond,pond,NTP,0.7483762328602358,0.8810495626822158,0.6421589460263494,0.7428711897738447,0.8729188713186826,0.09348244060537704,0.08139906590060696,0.10663728293531677,0.14903441706603446,0.1382952654036287,0.1624601826242859,0.19522405594567463,0.17988655565465148,0.20961741032846257,0.09243907956390261,0.07946920232257854,0.10540895680522669,0.4941558441558442,0.8810495626822158
real,qwen-2.5-7b,pond,pond,Probe,0.7406783738272793,0.7339449541284404,0.8499787505312367,0.7877116975187082,0.8124974674967937,0.06838362429762068,0.05791755245703916,0.08220766886732653,0.06644195334631262,0.055483362921652346,0.07988348945441325,0.06820204161294682,0.05907143829408354,0.0856799046171599,0.06778692680120804,0.055981488636390325,0.07959236496602576,0.6220779220779221,0.7339449541284404
real,qwen-2.5-7b,pond,nfix+supermat,NTP,0.7088737904056002,0.8350018539117539,0.48586839266450915,0.6142935079105292,0.8184548215859326,0.09502244128694612,0.08722741601573815,0.10425905546753293,0.12869823309655548,0.1216209900700176,0.1383472230485444,0.1732776434760352,0.16395040283906892,0.18342516803191433,0.09423212472034834,0.08565970176967161,0.10280454767102506,0.37775647171620325,0.8350018539117539
real,qwen-2.5-7b,pond,nfix+supermat,Probe,0.7031089149680873,0.7192587027297771,0.6196332254584682,0.6657394529439037,0.7732617310995441,0.09031324406655201,0.08221610502382118,0.09916775778695792,0.09155333411838065,0.08253691797035048,0.09999086391654473,0.10062255869643014,0.09286309039435495,0.11004702864855055,0.08723634233121505,0.08092962447826789,0.09354306018416221,0.42090124640460214,0.7192587027297771
real,qwen-2.5-7b,nfix,nfix,NTP,0.7241561181434599,0.7309697601668405,0.470785762256548,0.5727124183006536,0.7975177353567209,0.05546407668488618,0.04279964046649088,0.06973865262300373,0.11864425058706494,0.10444613816115807,0.1320994280120933,0.14281734098143392,0.13264991914456195,0.15530826667385844,0.04351589642374448,0.03209773781033577,0.05493405503715319,0.3355263157894737,0.7309697601668405
real,qwen-2.5-7b,nfix,nfix,Probe,0.694620253164557,0.6331456154465004,0.5285426460711887,0.5761346998535871,0.7590012384931966,0.07327627341711092,0.06317454670853134,0.08890844014790018,0.0735895535056684,0.06380127578791099,0.08976595444204469,0.09375259304101644,0.07914116202386595,0.11053099299987355,0.07197356869373804,0.05968595113729683,0.08426118625017925,0.38377192982456143,0.6331456154465004
real,qwen-2.5-7b,nfix,pond+supermat,NTP,0.7309377738825592,0.8666315234580917,0.6041156295933366,0.7119451461566223,0.8447778333928054,0.0563159767927716,0.050360277423796014,0.06323780762413947,0.12327382998664708,0.11739226948586443,0.13035518080600167,0.14719943709043765,0.13988448957503666,0.1546253097894964,0.04839018237740959,0.04056705899960216,0.05621330575521701,0.5163369637697266,0.8666315234580917
real,qwen-2.5-7b,nfix,pond+supermat,Probe,0.7275669116159914,0.7128549303045947,0.8456638902498775,0.773600761947448,0.7912486631638751,0.05135781663378869,0.045686749403539235,0.058730288169566575,0.05105043612977804,0.045331295228039324,0.05838647173469535,0.05780396001251887,0.051900017794077095,0.06576163577343433,0.050658581029799456,0.042873745437626294,0.05844341662197262,0.6285841298066237,0.7128549303045947
