Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,Recovery,Validity
syn,mistral-7b,pond,nfix,NTP,0.6666666666666666,,0.0,,0.6144550374254095,0.05292201875609901,0.0364665405705197,0.0791779487452893,0.053226001501173584,0.047701322665064536,0.09184818453733377,0.05845349787130766,0.046040343782281896,0.10164439806581048,0.0,0.0
syn,mistral-7b,pond,nfix,Probe,0.6703786191536748,0.5070821529745042,0.3986636971046771,0.4463840399002494,0.7082814569372177,0.06027476680968695,0.05096810080105863,0.08959426474735217,0.06039103681061616,0.05489162759790288,0.09563820634028951,0.0837581588044535,0.06559792457982745,0.12044684725141154,0.3986636971046771,0.5070821529745042
syn,mistral-7b,nfix,pond,NTP,0.6666666666666666,,0.0,,0.711910840782594,0.05829861316892576,0.04641058338433639,0.07138770058475645,0.06706297196072981,0.058688328344722325,0.08092496454525541,0.08401187742893843,0.07361969976854273,0.09885295686687545,0.0,0.0
syn,mistral-7b,nfix,pond,Probe,0.7346320346320346,0.578187250996016,0.7538961038961038,0.6544532130777904,0.8132071175577669,0.11520169914265121,0.10453917659210253,0.12714698119366266,0.11534272597587181,0.10475704681539634,0.12756914959239496,0.13131027586958344,0.12063061831571896,0.14410978876048314,0.7538961038961038,0.578187250996016
syn,mistral-7b,nfix,nfix,NTP,0.6666666666666666,,0.0,,0.6144550374254095,0.023855527825594965,0.01378420626723433,0.050707879171321295,0.03433530731341105,0.030398378565829293,0.0717966361527424,0.006345789780845456,0.0,0.07744905443954345,0.0,0.0
syn,mistral-7b,nfix,nfix,Probe,0.6971046770601337,0.5953488372093023,0.28507795100222716,0.38554216867469876,0.6978276397438504,0.07202091446718625,0.05758823046963041,0.09932037567814195,0.07974072557872328,0.06073006280337056,0.10500463353426959,0.08160727263050549,0.061679679557349806,0.1149165095263384,0.28507795100222716,0.5953488372093023
syn,qwen-2.5-7b,pond,pond,NTP,0.7984848484848485,0.7711487088156723,0.5623376623376624,0.6503942921517086,0.87404273486254,0.04688341200872154,0.03632251973478574,0.05916001821777886,0.12339457413374973,0.11299496422854713,0.1351678712991802,0.1407152092705672,0.12964042453308514,0.15352295144917763,0.5623376623376624,0.7711487088156723
syn,qwen-2.5-7b,pond,pond,Probe,0.8727272727272727,0.8474452554744526,0.7538961038961038,0.7979381443298968,0.9116044020914151,0.06251525213465592,0.054794957244109634,0.07238101309161071,0.06068422584551682,0.05333362034444874,0.07016624382480074,0.0741383898114007,0.06462210993354452,0.0858436986869758,0.7538961038961038,0.8474452554744526
syn,qwen-2.5-7b,pond,nfix,NTP,0.674090571640683,0.625,0.0556792873051225,0.10224948875255624,0.6453576619163595,0.11290636901390137,0.08936887072850867,0.13757573027425118,0.13432216077298265,0.11073860347338868,0.15797839339405842,0.14501023235356533,0.12421033245030262,0.1763143829205015,0.0556792873051225,0.625
syn,qwen-2.5-7b,pond,nfix,Probe,0.7052709725315516,0.6192660550458715,0.30066815144766146,0.4047976011994003,0.7029516222637785,0.07771312137147005,0.056975602824881316,0.10055430425343331,0.06907175074659584,0.05170178576614925,0.09326782352372145,0.06795785542179889,0.05302122467950319,0.10165696627353434,0.30066815144766146,0.6192660550458715
syn,qwen-2.5-7b,pond,supermat,NTP,0.774526678141136,0.7625698324022346,0.46987951807228917,0.5814696485623003,0.8034555235942541,0.02569141983925159,0.018577876362158952,0.04649379410709324,0.09603979922951564,0.07959371221657813,0.1187067464107303,0.11242375591236796,0.0960749311759734,0.1419949152519368,0.46987951807228917,0.7625698324022346
syn,qwen-2.5-7b,pond,supermat,Probe,0.6758462421113024,0.5104438642297651,0.6729776247848537,0.5805493689680773,0.7085897067492986,0.14989024611667112,0.1348420115970492,0.17572565525749112,0.1494259980412803,0.13198141018875154,0.17362350986530273,0.24790626693375606,0.22015054114804727,0.27729647932260393,0.6729776247848537,0.5104438642297651
syn,qwen-2.5-7b,nfix,pond,NTP,0.8093073593073593,0.7498104624715694,0.6422077922077922,0.6918502973067506,0.87404273486254,0.14049367011267755,0.1313429876878792,0.15275957597103537,0.13779228877091435,0.1306085631770684,0.15008431088549298,0.16832824540451186,0.16204251105350895,0.1773749862703955,0.6422077922077922,0.7498104624715694
syn,qwen-2.5-7b,nfix,pond,Probe,0.8244588744588744,0.7464503042596349,0.7168831168831169,0.7313680026498841,0.8957492831843481,0.050631911746445254,0.045078737438069755,0.06296718284804431,0.04271056530259371,0.04066203727161996,0.05683316524970407,0.05711663490324373,0.04945772187339585,0.06780699750122463,0.7168831168831169,0.7464503042596349
syn,qwen-2.5-7b,nfix,nfix,NTP,0.6755753526354863,0.5652173913043478,0.11581291759465479,0.19223659889094266,0.6453576619163595,0.02794399225020862,0.014217021099186471,0.052814097528636694,0.09014418065546063,0.07314336797353153,0.11868517585556694,0.10248772188807614,0.08569249428569946,0.1358753043102391,0.11581291759465479,0.5652173913043478
